Category,Similarity,Margin,SE,z,p,CIlow,CIhigh,Affiliation
Purityvirtue,0.1,3.836077,0.2144855,17.89,0,3.415693,4.256461,R
Purityvirtue,0.15,4.449381,0.2485127,17.9,0,3.962305,4.936457,R
Purityvirtue,0.2,5.160737,0.2881834,17.91,0,4.595908,5.725566,R
Purityvirtue,0.25,5.985824,0.3344715,17.9,0,5.330272,6.641376,R
Purityvirtue,0.3,6.942824,0.3885242,17.87,0,6.181331,7.704318,R
Purityvirtue,0.35,8.052827,0.4516919,17.83,0,7.167527,8.938127,R
Purityvice,0.05,7.444317,0.4481918,16.61,0,6.565877,8.322757,D
Purityvice,0.1,9.365012,0.5633739,16.62,0,8.260819,10.4692,D
Purityvice,0.15,11.78126,0.7085671,16.63,0,10.39249,13.17003,D
Purityvice,0.2,14.82092,0.8916964,16.62,0,13.07323,16.56861,D
Purityvice,0.25,18.64484,1.122805,16.61,0,16.44418,20.8455,D
Purityvice,0.3,23.45536,1.414625,16.58,0,20.68275,26.22798,D
Purityvice,0.35,29.50703,1.783307,16.55,0,26.01182,33.00225,D
Purityvice,0.05,3.898823,0.2153683,18.1,0,3.476709,4.320937,R
Purityvice,0.1,4.599004,0.253807,18.12,0,4.101552,5.096457,R
Purityvice,0.15,5.42493,0.2993959,18.12,0,4.838125,6.011736,R
Purityvice,0.2,6.399183,0.3535154,18.1,0,5.706305,7.09206,R
Purityvice,0.25,7.548399,0.4178193,18.07,0,6.729488,8.36731,R
Purityvice,0.3,8.904001,0.4942898,18.01,0,7.935211,9.872791,R
Purityvice,0.35,10.50305,0.5853025,17.94,0,9.35588,11.65022,R
