author,followers,tweet_count,created_at,date.enter,date.exit
repandrecarson,31577,3350,10/6/10 15:47,3/11/08,NA
repandybarr,15202,1519,1/14/13 15:29,1/3/13,NA
repandybiggsaz,7015,2248,1/4/17 14:28,1/3/17,NA
repandyharrismd,12032,731,11/20/12 18:31,1/3/11,NA
repannaeshoo,33270,858,2/8/11 21:36,1/3/93,NA
repanniekuster,18767,2183,1/3/13 20:29,1/3/13,NA
repannwagner,17156,1865,1/1/13 0:01,1/3/13,NA
reparrington,3795,540,1/3/17 14:06,1/3/17,NA
repbarbaralee,170378,3732,2/7/11 16:28,4/7/98,NA
repbarragan,6013,1761,1/5/17 2:29,1/3/17,NA
repbeatty,23321,3889,6/19/13 17:47,1/3/13,NA
repbenraylujan,16534,1611,1/22/09 1:00,1/3/09,NA
repbera,26850,2943,11/16/12 1:39,1/3/13,NA
repbetoorourke,83990,2027,1/30/13 14:52,1/3/13,NA
repbillenyart,2314,386,1/7/13 14:42,1/3/13,1/3/15
repbillflores,17444,2648,1/12/11 15:20,1/3/11,NA
repbillfoster,40697,1964,1/11/13 18:17,3/8/08,NA
repbilljohnson,30366,3465,11/3/10 14:33,1/3/11,NA
repbillshuster,19872,3300,3/2/09 20:04,5/15/01,NA
repblainepress,9072,1634,9/9/13 19:53,1/3/09,NA
repblumenauer,53258,3053,8/23/08 6:38,5/21/96,NA
repbobbyrush,13776,1138,5/25/11 20:59,1/3/93,NA
repbobgibbs,28299,1118,1/6/11 17:17,1/3/11,NA
repbonamici,22582,2310,4/20/12 16:30,1/31/12,NA
repbonnie,10554,1366,1/8/15 20:18,1/3/15,NA
repbost,5526,1182,1/6/15 19:55,1/3/15,NA
repbradwenstrup,17198,2742,3/8/12 16:25,1/3/13,NA
repbrady,12193,715,5/26/10 18:53,5/19/98,NA
repbrianbabin,8435,2020,12/18/14 13:28,1/3/15,NA
repbrianfitz,4309,637,1/3/17 15:20,1/3/17,NA
repbrianhiggins,22361,10442,4/20/09 16:47,1/3/05,NA
repbrianmast,5606,687,12/28/16 13:41,1/3/17,NA
repbrochester,3965,337,1/5/17 16:48,1/3/17,NA
repbuddycarter,9475,1236,1/12/15 0:33,1/3/15,NA
repbyrne,16376,9985,12/19/13 19:42,12/17/13,NA
repcarbajal,5025,645,1/3/17 5:42,1/3/17,NA
repcardenas,17304,1274,2/26/13 16:12,1/3/13,NA
repcartwright,9444,636,8/23/12 20:05,1/3/13,NA
repcharliecrist,4909,1329,1/2/17 21:16,1/3/17,NA
repcharliedent,15189,1515,1/24/11 16:58,1/3/05,NA
repcheri,29587,2391,1/15/13 19:15,1/3/13,NA
repchriscollins,20918,3430,1/3/13 16:55,1/3/13,NA
repchrisgibson,10968,1686,1/6/11 23:23,1/3/11,1/3/17
repchrissmith,18490,1041,3/22/13 18:03,1/3/81,NA
repchrisstewart,16642,2815,1/8/13 21:08,1/3/13,NA
repchuck,12803,1767,1/7/11 15:46,1/3/11,NA
repcicilline,13584,2294,1/12/12 16:26,1/3/11,NA
repcleaver,32419,3733,7/6/10 19:14,1/3/05,NA
repcohen,42426,1913,7/2/10 15:10,1/3/07,NA
repcomstock,14689,2754,12/20/14 15:03,1/3/15,NA
repcuellar,20722,3417,11/1/10 20:20,1/3/05,NA
repcummings,178620,2504,8/28/12 16:37,4/16/96,NA
repcurbelo,15236,1986,10/31/14 14:01,1/3/15,NA
repcurtclawson,2966,397,8/13/14 19:15,6/24/14,1/3/17
repdandonovan,3757,1570,7/1/15 19:06,5/5/15,NA
repdankildee,32214,2199,12/29/12 15:05,1/3/13,NA
repdannydavis,8858,1131,8/29/12 12:31,1/3/97,NA
repdarrensoto,4615,1207,1/10/17 6:57,1/3/17,NA
repdavebrat,12834,1241,6/11/14 0:22,11/4/14,NA
repdavejoyce,18142,3386,11/28/12 21:12,1/3/13,NA
repdavetrott,9859,426,11/9/14 22:42,1/3/15,NA
repdavid,21770,1457,12/21/10 19:48,1/3/11,NA
repdavideprice,21268,857,6/14/10 19:44,1/3/87,NA
repdavidkustoff,3541,468,1/2/17 20:03,1/3/17,NA
repdavidscott,16484,1709,7/20/10 14:10,1/3/03,NA
repdavidvaladao,13319,490,1/28/13 16:19,1/3/13,NA
repdavidyoung,9336,3645,6/9/11 21:48,1/3/15,NA
repdebdingell,32562,1968,1/9/15 19:15,1/3/15,NA
repdelbene,22531,3392,12/7/12 14:40,11/6/12,NA
repdennisross,16788,917,4/20/09 20:43,1/3/11,NA
repdennyheck,19714,2368,1/7/13 14:55,1/3/13,NA
repderekkilmer,23754,1786,1/3/13 22:15,1/3/13,NA
repdesantis,153518,410,1/3/13 21:20,1/3/13,NA
repdesaulnier,11501,1801,1/8/15 15:32,1/3/15,NA
repdevinnunes,15027,149,7/29/11 21:40,NA,NA
repdianadegette,39354,3613,4/3/09 16:41,1/3/97,NA
repdianeblack,25359,3529,2/1/10 22:58,1/3/11,NA
repdinatitus,29794,3076,3/11/10 21:05,1/3/09,NA
repdlamborn,14634,3685,5/18/12 16:01,1/3/07,NA
repdonaldpayne,10931,3549,2/6/13 22:52,11/6/12,NA
repdonbacon,3603,2338,1/11/17 0:17,NA,NA
repdonbeyer,54993,9750,1/5/15 22:09,1/3/15,NA
repdonyoung,15753,1456,5/1/09 18:31,3/6/73,NA
repdougcollins,14536,1049,1/4/13 13:43,1/3/13,NA
repdrewferguson,2848,878,12/7/16 19:39,1/3/17,NA
repdwightevans,10271,8053,11/17/09 14:25,11/8/16,NA
repdwstweets,12389,2455,2/1/13 20:31,NA,NA
repebj,30599,2973,7/19/10 14:25,1/3/93,NA
repedroyce,26984,2412,2/3/11 12:40,1/3/93,NA
repedwhitfield,8585,1066,1/6/11 21:36,1/3/95,9/6/16
repeliotengel,21875,1596,7/7/10 20:34,1/3/89,NA
reperikpaulsen,19067,3738,11/20/08 15:28,1/3/09,NA
repespaillat,7658,4026,1/5/17 18:32,1/3/17,NA
repesty,21453,2919,1/4/13 17:36,1/3/13,NA
repevanjenkins,6638,2421,12/31/14 20:52,1/3/15,NA
repfilemonvela,11122,1241,1/12/13 16:24,1/3/13,NA
repfinchertn08,9220,1792,2/8/11 16:24,1/3/11,1/3/17
repfitzpatrick,12857,3200,1/14/11 0:38,1/3/05,1/3/17
repfleming,13519,1640,10/23/09 15:42,1/3/09,1/3/17
repfranklucas,10675,651,1/25/11 15:24,5/10/94,NA
repfredupton,22232,1083,3/18/10 17:34,1/3/87,NA
repfrenchhill,12931,1548,12/31/14 23:54,1/3/15,NA
repgallagher,7009,1153,1/2/17 17:02,1/3/17,NA
repgaramendi,23369,3729,11/10/09 0:31,11/3/09,NA
repgarretgraves,7333,2158,12/30/14 17:51,1/3/15,NA
repgarrett,6696,398,11/20/12 15:44,1/3/03,1/3/17
repgarymiller,4411,288,6/14/10 18:12,1/3/99,1/3/15
repgenegreen,17487,2244,2/5/10 16:37,1/3/93,NA
repgonzalez,1568,404,1/9/17 19:13,1/3/17,NA
repgoodlatte,41922,3582,5/5/09 13:18,1/3/93,NA
repgosar,28905,1948,1/20/11 17:44,1/3/11,NA
repgracemeng,21287,3508,12/31/12 20:28,1/3/13,NA
repgregwalden,24590,1323,4/16/09 17:31,1/3/99,NA
repgrothman,4255,1047,1/13/15 15:08,1/3/15,NA
repgusbilirakis,24698,3333,3/23/09 17:56,1/3/07,NA
repguthrie,10264,399,9/26/13 14:37,1/3/09,NA
repgutierrez,77087,1489,5/1/09 14:03,1/3/93,NA
repgwenmoore,30234,2755,3/3/09 20:02,1/3/05,NA
rephalrogers,13400,3378,4/10/12 19:59,1/3/81,NA
rephanabusa,10544,1090,1/8/11 1:13,11/8/16,NA
rephankjohnson,28804,1489,3/16/09 18:52,1/3/07,NA
rephartzler,18907,3700,1/13/11 15:38,1/3/11,NA
rephastingsfl,15149,559,4/8/14 14:53,1/3/93,NA
rephensarling,22812,953,1/2/09 23:08,1/3/03,NA
repholding,12041,680,1/3/13 18:27,1/3/13,NA
rephorsford,7573,1606,10/13/11 2:23,1/3/13,1/3/15
rephuffman,22930,772,1/8/13 14:52,1/3/13,NA
rephuizenga,16987,561,1/4/11 14:01,1/3/11,NA
rephultgren,16713,3443,1/13/11 18:03,1/3/11,NA
repjackbergman,3341,629,12/31/16 17:02,1/3/17,NA
repjackyrosen,5862,1569,1/9/17 20:24,1/3/17,NA
repjaredpolis,13645,2402,1/13/12 19:19,1/3/09,NA
repjasonlewis,5326,701,1/2/17 22:22,1/3/17,NA
repjasonsmith,22399,2689,7/26/13 16:13,6/4/13,NA
repjayapal,39124,7508,1/2/17 1:35,1/3/17,NA
repjbridenstine,22772,1434,1/15/13 17:33,1/3/13,NA
repjeffdenham,20197,940,2/7/11 15:01,1/3/11,NA
repjeffduncan,51038,3712,1/19/11 20:45,1/3/11,NA
repjeffmiller,3856,442,1/4/13 20:01,10/16/01,1/3/17
repjeffries,42825,2614,1/18/12 21:54,1/3/13,NA
repjenniffer,6006,2213,1/13/17 3:15,NA,NA
repjerrynadler,48712,3178,5/15/09 18:37,11/3/92,NA
repjimbanks,4593,1524,1/3/17 3:57,1/3/17,NA
repjimcooper,20605,2521,3/2/09 14:25,1/3/83,NA
repjimcosta,14819,1604,1/31/11 18:42,1/3/05,NA
repjimmatheson,7903,1175,6/10/09 2:35,1/3/01,1/3/15
repjimmcdermott,15756,1890,4/12/10 15:27,1/3/89,1/3/17
repjimmypanetta,5055,958,11/10/16 15:29,1/3/17,NA
repjimrenacci,27041,3732,1/11/11 17:20,1/3/11,NA
repjoebarton,28131,2078,2/2/09 20:30,1/3/85,NA
repjoecourtney,21674,3078,10/26/09 19:45,1/3/07,NA
repjoecrowley,27692,2701,2/5/10 16:39,1/3/99,NA
repjoegarcia,2671,1402,11/9/12 21:29,1/3/13,1/3/15
repjoekennedy,422519,2494,1/2/13 19:33,1/3/13,NA
repjoewilson,11387,1617,2/18/11 15:18,12/18/01,NA
repjohnconyers,44560,2012,4/30/10 14:49,1/3/65,12/5/17
repjohndelaney,17949,3124,11/9/12 20:40,1/3/13,NA
repjohnduncanjr,5059,663,9/19/13 14:50,11/8/88,NA
