bioname,twitter_handle,chamber,district_code,state_abbrev,party_code,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
"MALONEY, Sean Patrick",RepSeanMaloney,House,18,NY,100,-0.228,0.089,-198.0816,0.83643,1109,86
"MANCHIN, Joe, III",Sen_JoeManchin,Senate,0,WV,100,-0.062,0.457,-163.16965,0.67362,413,68
"MARCHANT, Kenny",RepKenMarchant,House,24,TX,200,0.602,0.163,-98.14606,0.9122,1068,45
"MARINO, Thomas A.",RepTomMarino,House,10,PA,200,0.35,0.496,-83.57962,0.92349,1050,26
"MARKEY, Edward John",senmarkey,Senate,0,MA,100,-0.501,-0.428,-51.24399,0.88358,414,24
"MASSIE, Thomas",RepThomasMassie,House,4,KY,200,0.672,-0.741,-393.45199,0.70244,1114,145
"MATSUI, Doris",DorisMatsui,House,6,CA,100,-0.435,-0.175,-69.54885,0.93958,1116,27
"McCAIN, John Sidney, III",SenJohnMcCain,Senate,0,AZ,200,0.381,-0.623,-117.72235,0.75042,410,59
"MCCARTHY, Kevin",GOPLeader,House,23,CA,200,0.462,0.195,-85.01053,0.92634,1111,42
"McCASKILL, Claire",clairecmc,Senate,0,MO,100,-0.145,-0.001,-93.60477,0.79319,404,36
"McCAUL, Michael T.",RepMcCaul,House,10,TX,200,0.45,0.082,-105.67931,0.90903,1108,42
"McCLINTOCK, Tom",RepMcClintock,House,4,CA,200,0.745,-0.519,-125.13861,0.89437,1121,50
"McCOLLUM, Betty",VettyMcCollum04,House,4,MN,100,-0.422,-0.172,-91.05369,0.92118,1109,31
"McCONNELL, Addison Mitchell (Mitch)",SenateMajLdr,Senate,0,KY,200,0.404,0.004,-155.8335,0.69002,420,62
"McDERMOTT, James A. (Jim)",RepJimMcDermott,House,7,WA,100,-0.666,-0.197,-108.50771,0.905,1083,51
"McGOVERN, James P.",RepMcGovern,House,2,MA,100,-0.536,-0.305,-78.35509,0.93208,1114,42
"McHENRY, Patrick T.",PatrickMcHenry,House,10,NC,200,0.582,0.114,-101.53264,0.91326,1119,38
"McKINLEY, David",RepMcKinley,House,1,WV,200,0.292,0.124,-188.93261,0.84439,1117,89
"McMORRIS RODGERS, Cathy",cathymcmorris,House,5,WA,200,0.43,0.15,-94.52062,0.91886,1117,34
"McNERNEY, Jerry",RepMcNerney,House,9,CA,100,-0.258,-0.132,-137.90967,0.88257,1104,46
"McSALLY, Martha",RepMcSally,House,2,AZ,200,0.337,-0.024,-197.55239,0.83895,1125,93
"MEADOWS, Mark",RepMarkMeadows,House,11,NC,200,0.627,-0.164,-126.69853,0.89213,1110,51
"MEEHAN, Patrick",RepMeehan,House,7,PA,200,0.22,0.067,-215.80939,0.82446,1118,102
"MEEKS, Gregory W.",GregoryMeeks,House,5,NY,100,-0.419,-0.08,-101.68105,0.90135,979,33
"MENENDEZ, Robert",SenatorMenendez,Senate,0,NJ,100,-0.36,-0.115,-73.81667,0.83705,415,31
"MENG, Grace",RepGraceMeng,House,6,NY,100,-0.384,-0.14,-95.39744,0.91613,1089,33
"MERKLEY, Jeff",SenJeffMerkley,Senate,0,OR,100,-0.457,-0.77,-43.6577,0.90037,416,20
"MESSER, Luke",RepLukeMesser,House,6,IN,200,0.562,-0.114,-114.04622,0.90269,1114,45
"MICA, John L.",,House,7,FL,200,0.453,0.137,-113.52337,0.904,1119,46
"MIKULSKI, Barbara Ann",SenatorBarb,Senate,0,MD,100,-0.37,-0.128,-40.75285,0.903,399,20
"MILLER, Candice S.",CandiceMiller,House,10,MI,200,0.343,-0.001,-160.03739,0.859,1056,75
"MILLER, Jefferson B. (Jeff)",RepJeffMiller,House,1,FL,200,0.633,0.155,-89.73545,0.921,1089,45
"MOOLENAAR, John",RepMoolenaar,House,4,MI,200,0.399,0.466,-99.34511,0.91446,1111,38
"MOONEY, Alex X.",RepAlexMooney,House,2,WV,200,0.565,-0.26,-157.55415,0.86823,1115,64
"MOORE, Gwendolynne S. (Gwen)",RepGwenMoore,House,4,WI,100,-0.529,-0.252,-84.6661,0.92225,1046,38
"MORAN, Jerry",JerryMoran,Senate,0,KS,200,0.413,0.263,-104.89895,0.77377,409,53
"MOULTON, Seth",sethmoulton,House,6,MA,100,-0.309,-0.058,-138.27619,0.88366,1118,60
"MULLIN, Markwayne",RepMullin,House,2,OK,200,0.504,0.508,-83.58988,0.92784,1116,34
"MULVANEY, Mick",MickMulvaneyOMB,House,5,SC,200,0.75,-0.592,-143.49656,0.87654,1089,77
"MURKOWSKI, Lisa",lisamurkowski,Senate,0,AK,200,0.208,-0.289,-134.57279,0.72192,413,65
"MURPHY, Christopher",ChrisMurphyCT,Senate,0,CT,100,-0.311,-0.185,-46.07284,0.89564,418,16
"MURPHY, Patrick",PatrickMurphyFL,House,18,FL,100,-0.186,-0.026,-209.56091,0.824,1085,85
"MURPHY, Timothy",RepTimMurphy,House,18,PA,200,0.258,0.198,-139.20934,0.88263,1115,59
"MURRAY, Patty",PattyMurray,Senate,0,WA,100,-0.341,-0.301,-47.40412,0.89181,414,27
"NADLER, Jerrold Lewis",RepJerryNadler,House,10,NY,100,-0.51,-0.503,-77.667,0.92777,1036,42
"NAPOLITANO, Grace Flores",gracenapolitano,House,32,CA,100,-0.446,-0.239,-68.61717,0.93839,1079,24
"NEAL, Richard Edmund",RepRichardNeal,House,1,MA,100,-0.416,-0.12,-92.54783,0.9191,1097,49
"NELSON, Clarence William (Bill)",SenBillNelson,Senate,0,FL,100,-0.193,0.343,-96.16643,0.78343,394,40
"NEUGEBAUER, Randy",RandyNeugebauer,House,19,TX,200,0.628,0.322,-79.75961,0.931,1117,32
"NEWHOUSE, Daniel Milton",RepNewhouse,House,4,WA,200,0.364,0.216,-125.8973,0.89368,1120,58
"NOEM, Kristi",RepKristiNoem,House,1,SD,200,0.395,0.338,-113.15164,0.9025,1103,57
"NOLAN, Richard Michael",USRepRickNolan,House,8,MN,100,-0.373,-0.419,-187.2521,0.84095,1081,65
"NORCROSS, Donald",DonaldNorcross,House,1,NJ,100,-0.39,0.276,-129.66573,0.88966,1109,62
"NUGENT, Richard",RepRichNugent,House,11,FL,200,0.483,0.077,-157.24613,0.851,973,75
"NUNES, Devin",DevinNunes,House,22,CA,200,0.449,0.192,-107.07854,0.90905,1123,45
"NUNNELEE, Alan",,House,1,MS,200,0.488,0.574,NA,NA,NA,NA
"O'ROURKE, Beto",RepBetoORourke,House,16,TX,100,-0.319,-0.335,-128.76204,0.88632,1067,46
"OLSON, Pete",RepPeteOlson,House,22,TX,200,0.541,0.313,-70.52859,0.93833,1108,21
"PALAZZO, Steven",CongPalazzo,House,4,MS,200,0.493,0.523,-106.68522,0.90552,1075,53
"PALLONE, Frank, Jr.",FrankPallone,House,6,NJ,100,-0.399,-0.167,-90.31961,0.92158,1106,46
"PALMER, Gary James",USRepGaryPalmer,House,6,AL,200,0.778,-0.129,-101.07147,0.91371,1120,39
"PASCRELL, William J., Jr.",BillPascrell,House,9,NJ,100,-0.365,0.008,-113.68598,0.9019,1101,40
"PAUL, Rand",SenRandPaul,Senate,0,KY,200,0.875,-0.484,-219.76084,0.57809,401,98
"PAULSEN, Erik",RepErikPaulsen,House,3,MN,200,0.407,-0.199,-167.12238,0.86069,1114,77
"PAYNE, Donald, Jr.",RepDonaldPayne,House,10,NJ,100,-0.499,-0.148,-76.4788,0.91956,912,30
"PEARCE, Stevan",RepStevePearce,House,2,NM,200,0.47,0.064,-153.44505,0.86499,1058,70
"PELOSI, Nancy",NancyPelosi,House,12,CA,100,-0.492,-0.205,-64.19352,0.94003,1038,23
"PERDUE, David Alfred, Jr.",SenDavidPerdue,Senate,0,GA,200,0.648,-0.271,-94.31278,0.79671,415,43
"PERLMUTTER, Ed",RepPerlmutter,House,7,CO,100,-0.285,0.099,-156.51029,0.86567,1085,64
"PERRY, Scott",RepScottPerry,House,4,PA,200,0.653,-0.342,-141.42328,0.88118,1118,68
"PETERS, Gary C.",SenGaryPeters,Senate,0,MI,100,-0.232,-0.217,-49.36273,0.88786,415,19
"PETERS, Scott",RepScottPeters,House,52,CA,100,-0.174,-0.071,-236.77303,0.8076,1108,111
"PETERSON, Collin Clark",collinpeterson,House,7,MN,100,-0.145,0.717,-459.51121,0.66225,1115,227
"PINGREE, Chellie",chelliepingree,House,1,ME,100,-0.428,-0.391,-88.16281,0.92398,1115,39
"PITTENGER, Robert",reppittenger,House,9,NC,200,0.563,0.294,-87.35758,0.92412,1107,42
"PITTS, Joseph R.",,House,16,PA,200,0.538,0.012,-115.46484,0.9,1098,49
"POCAN, Mark",repmarkpocan,House,2,WI,100,-0.552,-0.465,-52.0452,0.95371,1098,26
"POE, Ted",JudgeTedPoe,House,2,TX,200,0.593,-0.035,-153.77738,0.85142,956,72
"POLIQUIN, Bruce Lee",RepPoliquin,House,2,ME,200,0.37,-0.253,-265.6412,0.78918,1122,121
"POLIS, Jared",RepJaredPolis,House,2,CO,100,-0.28,-0.692,-209.03103,0.82821,1109,84
"POMPEO, Mike",,House,4,KS,200,0.66,0.164,-79.15451,0.92939,1081,28
"PORTMAN, Robert Jones (Rob)",SenRobPortman,Senate,0,OH,200,0.375,-0.257,-137.33532,0.71883,416,63
"POSEY, Bill",congbillposey,House,8,FL,200,0.51,-0.311,-206.60221,0.83168,1121,78
"PRICE, David Eugene",RepDavidEPrice,House,4,NC,100,-0.34,-0.029,-87.36382,0.92318,1093,29
"PRICE, Tom",RepTomPrice,House,6,GA,200,0.644,-0.073,-98.5592,0.91317,1085,56
"QUIGLEY, Mike",RepMikeQuigley,House,5,IL,100,-0.317,-0.31,-117.01843,0.8996,1106,52
"RANGEL, Charles B.",cbrangel,House,13,NY,100,-0.514,-0.341,-100.02235,0.911,1077,41
"RATCLIFFE, John",RepRatcliffe,House,4,TX,200,0.744,0.147,-84.36763,0.92763,1123,40
"REED, John F. (Jack)",SenJackReed,Senate,0,RI,100,-0.388,-0.252,-39.25577,0.91077,420,13
"REED, Thomas W. II",RepTomReed,House,23,NY,200,0.298,0.081,-144.09718,0.87784,1106,62
"REICHERT, David G.",davereichert,House,8,WA,200,0.222,-0.164,-249.41864,0.7953,1089,109
"REID, Harry",SenatorReid,Senate,0,NV,100,-0.276,0.258,-68.81173,0.828,364,35
"RENACCI, Jim",RepJimRenacci,House,16,OH,200,0.385,0.135,-143.37329,0.87934,1115,78
"RIBBLE, Reid",RepRibble,House,8,WI,200,0.603,-0.333,-208.95525,0.827,1099,84
"RICE, Kathleen Maura",RepKathleenRice,House,4,NY,100,-0.283,-0.082,-147.64442,0.87111,1070,82
"RICE, Tom",RepTomRice,House,7,SC,200,0.577,-0.262,-164.33447,0.86296,1115,80
"RICHMOND, Cedric",RepRichmond,House,2,LA,100,-0.467,0.317,-114.60848,0.89905,1077,53
"RIGELL, E. Scott",RepScottRigell,House,2,VA,200,0.405,-0.084,-184.52576,0.848,1116,81
"RISCH, James",SenatorRisch,Senate,0,ID,200,0.633,0.561,-62.21973,0.862,419,31
"ROBERTS, Charles Patrick (Pat)",SenPatRoberts,Senate,0,KS,200,0.415,-0.095,-70.13411,0.84417,414,29
"ROBY, Martha",RepMarthaRoby,House,2,AL,200,0.365,0.669,-91.50272,0.91983,1095,33
"ROE, David P. (Phil)",DrPhilRoe,House,1,TN,200,0.493,-0.006,-81.16298,0.92401,1027,32
"ROGERS, Harold Dallas (Hal)",RepHalRogers,House,5,KY,200,0.332,0.088,-99.79868,0.91424,1113,36
"ROGERS, Mike Dennis",RepMikeRogersAL,House,3,AL,200,0.338,0.44,-137.10113,0.88272,1099,60
"ROHRABACHER, Dana",DanaRohrabacher,House,48,CA,200,0.628,-0.401,-167.2251,0.85921,1102,74
"ROKITA, Todd",ToddRokita,House,4,IN,200,0.594,-0.171,-147.99405,0.87476,1106,56
"ROONEY, Thomas J.",TomRooney,House,17,FL,200,0.461,0.012,-134.06679,0.88306,1078,74
"ROS-LEHTINEN, Ileana",RosLehtinen,House,27,FL,200,0.245,-0.228,-263.27202,0.78851,1108,137
"ROSKAM, Peter",PeterRoskam,House,6,IL,200,0.434,0.032,-134.87137,0.88105,1065,61
"ROSS, Dennis",RepDennisRoss,House,15,FL,200,0.534,0.084,-111.21575,0.90458,1109,44
"ROTHFUS, Keith",KeithRothfus,House,12,PA,200,0.49,0.124,-96.54032,0.91713,1116,44
"ROUNDS, Marion Michael (Mike)",SenatorRounds,Senate,0,SD,200,0.375,0.062,-66.73632,0.85178,416,19
"ROUZER, David",RepDavidRouzer,House,7,NC,200,0.617,0.158,-91.85283,0.92146,1123,49
"ROYBAL-ALLARD, Lucille",RepRoybalAllard,House,40,CA,100,-0.47,-0.201,-59.10718,0.94819,1111,28
"ROYCE, Edward Randall",RepEdRoyce,House,39,CA,200,0.663,-0.372,-202.79823,0.83356,1114,86
"RUBIO, Marco",marcorubio,Senate,0,FL,200,0.586,-0.322,-85.77202,0.74989,298,31
"RUIZ, Raul",CongressmanRuiz,House,36,CA,100,-0.233,0.051,-169.5031,0.85475,1080,59
"RUPPERSBERGER, C. A. (Dutch)",Call_Me_Dutch,House,2,MD,100,-0.299,0.15,-173.15141,0.85136,1076,68
"RUSH, Bobby L.",RepBobbyRush,House,1,IL,100,-0.478,-0.212,-108.04412,0.88851,914,41
"RUSSELL, Steve",RepRussell,House,5,OK,200,0.47,-0.187,-201.67606,0.83331,1106,66
"RYAN, Paul D.",SpeakerRyan,House,1,WI,200,0.556,-0.252,-62.82791,0.88494,514,21
"RYAN, Timothy J.",RepTimRyan,House,13,OH,100,-0.402,0.213,-127.48767,0.88895,1083,65
"SՁNCHEZ, Linda T.",RepLindaSanchez,House,38,CA,100,-0.505,-0.165,-61.89139,0.94543,1103,30
"SALMON, Matthew James",,House,5,AZ,200,0.673,-0.272,-162.72287,0.862,1092,62
"SANCHEZ, Loretta",LorettaSanchez,House,46,CA,100,-0.367,0.025,-108.19825,0.879,841,48
"SANDERS, Bernard",SenatorSanders,Senate,0,VT,328,-0.514,-0.314,-71.32253,0.79738,315,30
"SANFORD, Mark",RepSanfordSC,House,1,SC,200,0.697,-0.717,-275.80568,0.77858,1102,131
"SARBANES, John",RepSarbanes,House,3,MD,100,-0.461,-0.103,-59.52364,0.94756,1105,28
"SASSE, Benjamin Eric",SenSasse,Senate,0,NE,200,0.82,-0.351,-94.10349,0.79841,418,50
"SCALISE, Steve",SteveScalise,House,1,LA,200,0.56,0.127,-89.12945,0.92284,1110,32
"SCHAKOWSKY, Janice D.",janschakowsky,House,9,IL,100,-0.604,-0.274,-74.33337,0.9339,1087,32
"SCHATZ, Brian Emanuel",brianschatz,Senate,0,HI,100,-0.414,-0.069,-43.37487,0.90121,417,15
"SCHIFF, Adam",RepAdamSchiff,House,28,CA,100,-0.347,-0.13,-84.31955,0.92729,1117,29
"SCHOCK, Aaron",aaronschock,House,18,IL,200,0.311,0.185,-15.2141,0.871,110,9
"SCHRADER, Kurt",RepSchrader,House,5,OR,100,-0.189,0.038,-428.88836,0.67519,1092,188
"SCHUMER, Charles Ellis (Chuck)",SenSchumer,Senate,0,NY,100,-0.35,-0.4,-43.84562,0.90065,419,16
"SCHWEIKERT, David",RepDavid,House,6,AZ,200,0.632,-0.331,-130.83378,0.88966,1119,56
"SCOTT, Austin",AustinScottGA08,House,8,GA,200,0.576,0.164,-68.91586,0.93916,1098,18
"SCOTT, David",repdavidscott,House,13,GA,100,-0.305,0.175,-175.41967,0.84853,1068,68
"SCOTT, Robert C.",BobbyScott,House,3,VA,100,-0.453,0.02,-87.95083,0.92415,1115,23
"SCOTT, Tim",SenatorTimScott,Senate,0,SC,200,0.661,-0.016,-76.43773,0.83029,411,39
"SENSENBRENNER, Frank James, Jr.",,House,5,WI,200,0.647,-0.624,-192.03625,0.84308,1125,87
"SERRANO, Josթ E.",RepJoseSerrano,House,15,NY,100,-0.489,-0.394,-64.16667,0.94427,1119,37
"SESSIONS, Jefferson Beauregard III (Jeff)",,Senate,0,AL,200,0.549,0.13,-109.63029,0.76537,410,46
"SESSIONS, Pete",PeteSessions,House,32,TX,200,0.587,0.171,-74.63329,0.93469,1105,26
"SEWELL, Terri",repterrisewell,House,7,AL,100,-0.392,0.405,-178.72512,0.84511,1062,86
"SHAHEEN, Jeanne",SenatorShaheen,Senate,0,NH,100,-0.268,-0.327,-48.08798,0.89182,420,27
"SHELBY, Richard C.",SenShelby,Senate,0,AL,200,0.434,0.545,-101.50878,0.77734,403,43
"SHERMAN, Brad",BradSherman,House,30,CA,100,-0.344,-0.15,-143.97981,0.87906,1117,52
