bioname,twitter_handle,chamber,district_code,state_abbrev,party_code,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
"ABRAHAM, Ralph",RepAbraham,House,5,LA,200,0.499,0.345,-88.19055,0.92447,1123,37
"ADAMS, Alma",RepAdams,House,12,NC,100,-0.463,0.006,-54.85051,0.94863,1040,22
"ADERHOLT, Robert",Robert_Aderholt,House,4,AL,200,0.36,0.59,-103.30265,0.91121,1111,41
"AGUILAR, Peter Rey",RepPeteAguilar,House,31,CA,100,-0.279,0.131,-166.76534,0.85813,1090,80
"ALEXANDER, Lamar",SenAlexander,Senate,0,TN,200,0.323,-0.184,-104.85711,0.7753,412,39
"ALLEN, Rick W.",RepRickAllen,House,12,GA,200,0.625,0.438,-69.36635,0.93947,1111,23
"AMASH, Justin",justinamash,House,3,MI,200,0.67,-0.742,-492.60878,0.64465,1122,170
"AMODEI, Mark E.",MarkAmodeiNV2,House,2,NV,200,0.378,0.191,-113.37119,0.89811,1055,43
"ASHFORD, John Bradley",RepBradAshford,House,2,NE,100,-0.185,0.441,-325.13112,0.746,1112,137
"AYOTTE, Kelly",KellyAyotte,Senate,0,NH,200,0.351,-0.612,-126.06028,0.739,416,57
"BABIN, Brian",RepBrianBabin,House,36,TX,200,0.716,0.081,-86.92983,0.92467,1110,44
"BALDWIN, Tammy",SenatorBaldwin,Senate,0,WI,100,-0.537,-0.257,-50.50703,0.88669,420,24
"BARLETTA, Lou",RepLouBarletta,House,11,PA,200,0.274,0.397,-123.40539,0.88971,1056,47
"BARR, Garland H. (Andy) IV",RepAndyBarr,House,6,KY,200,0.486,0.304,-91.46205,0.92138,1117,46
"BARRASSO, John A.",SenJohnBarrasso,Senate,0,WY,200,0.529,0.232,-74.88231,0.83634,419,27
"BARTON, Joe Linus",RepJoeBarton,House,6,TX,200,0.528,0.049,-112.76272,0.90248,1099,49
"BASS, Karen",RepKarenBass,House,37,CA,100,-0.562,-0.131,-91.5273,0.91458,1025,43
"BEATTY, Joyce",RepBeatty,House,3,OH,100,-0.444,0.092,-80.29671,0.93009,1108,23
"BECERRA, Xavier",AGBecerra,House,34,CA,100,-0.512,-0.283,-79.99934,0.92783,1068,34
"BENISHEK, Dan",CongressmanDan,House,1,MI,200,0.491,-0.15,-198.80694,0.838,1122,105
"BENNET, Michael F.",SenBennetCO,Senate,0,CO,100,-0.208,-0.107,-73.73739,0.83898,420,34
"BERA, Ami",RepBera,House,7,CA,100,-0.224,-0.026,-171.17942,0.85697,1109,74
"BEYER, Donald Sternoff Jr.",RepDonBeyer,House,8,VA,100,-0.393,-0.055,-112.19665,0.90193,1087,46
"BILIRAKIS, Gus",RepGusBilirakis,House,12,FL,200,0.402,0.029,-133.57913,0.88738,1118,57
"BISHOP, Michael Dean",RepMikeBishop,House,8,MI,200,0.449,0.095,-122.40505,0.89647,1120,60
"BISHOP, Robert (Rob)",,House,1,UT,200,0.53,0.122,-119.75077,0.89431,1072,39
"BISHOP, Sanford Dixon, Jr.",SanfordBishop,House,2,GA,100,-0.281,0.472,-269.19995,0.78379,1105,126
"BLACK, Diane",RepDianeBlack,House,6,TN,200,0.58,0.234,-72.85758,0.93412,1069,22
"BLACKBURN, Marsha",MarshaBlackburn,House,7,TN,200,0.616,0.129,-73.38227,0.93518,1095,23
"BLUM, Rod",RepRodBlum,House,1,IA,200,0.519,-0.466,-211.24827,0.82741,1115,72
"BLUMENAUER, Earl",repblumenauer,House,3,OR,100,-0.429,-0.659,-130.18389,0.88742,1090,53
"BLUMENTHAL, Richard",SenBlumenthal,Senate,0,CT,100,-0.411,-0.055,-46.27469,0.8952,418,17
"BLUNT, Roy",RoyBlunt,Senate,0,MO,200,0.43,0.287,-83.12479,0.81568,408,35
"BOEHNER, John Andrew",speakerboehner,House,8,OH,200,0.513,0.04,NA,NA,NA,NA
"BONAMICI, Suzanne",RepBonamici,House,1,OR,100,-0.387,-0.378,-80.15072,0.93016,1107,42
"BOOKER, Cory Anthony",CoryBooker,Senate,0,NJ,100,-0.627,-0.24,-41.24595,0.90561,416,16
"BOOZMAN, John",JohnBoozman,Senate,0,AR,200,0.402,0.246,-69.98472,0.84584,418,21
"BOST, Mike",RepBost,House,12,IL,200,0.264,0.453,-118.99043,0.89494,1072,55
"BOUSTANY, Charles W.",,House,3,LA,200,0.392,0.308,-102.39446,0.912,1115,40
"BOXER, Barbara",BarbaraBoxer,Senate,0,CA,100,-0.45,-0.423,-46.4471,0.881,368,22
"BOYLE, Brendan Francis",RepBrendanBoyle,House,13,PA,100,-0.383,0.129,-130.75474,0.88597,1080,59
"BRADY, Kevin Patrick",RepKevinBrady,House,8,TX,200,0.518,0.214,-70.48998,0.93676,1079,27
"BRADY, Robert A.",RepBrady,House,1,PA,100,-0.481,0.221,-89.55802,0.91971,1070,47
"BRAT, David A.",RepDaveBrat,House,7,VA,200,0.848,-0.305,-115.41184,0.89883,1082,37
"BRIDENSTINE, Jim",RepJBridenstine,House,1,OK,200,0.69,-0.156,-132.78316,0.88735,1111,52
"BROOKS, Mo",RepMoBrooks,House,5,AL,200,0.598,-0.401,-273.81091,0.78277,1118,108
"BROOKS, Susan",SusanWBrooks,House,5,IN,200,0.375,0.266,-106.33815,0.9088,1112,46
"BROWN, Corrine",,House,5,FL,100,-0.429,0.192,-108.58497,0.895,983,39
"BROWN, Sherrod",SenSherrodBrown,Senate,0,OH,100,-0.439,-0.148,-40.03061,0.90676,409,19
"BROWNLEY, Julia",JuliaBrownley26,House,26,CA,100,-0.277,0.035,-151.33496,0.87351,1119,75
"BUCHANAN, Vernon G.",VernBuchanan,House,16,FL,200,0.36,-0.152,-191.43926,0.83519,1063,83
"BUCK, Kenneth Robert",RepKenBuck,House,4,CO,200,0.729,-0.503,-135.69814,0.88016,1063,58
"BUCSHON, Larry",RepLarryBucshon,House,8,IN,200,0.388,0.235,-101.80051,0.91297,1118,51
"BURGESS, Michael C.",michaelcburgess,House,26,TX,200,0.57,-0.229,-167.84915,0.86082,1120,84
"BURR, Richard M.",SenatorBurr,Senate,0,NC,200,0.453,-0.057,-92.33398,0.80138,417,38
"BUSTOS, Cheri",RepCheri,House,17,IL,100,-0.238,0.046,-147.8042,0.87627,1119,48
"BUTTERFIELD, George Kenneth, Jr. (G.K.)",GKButterfield,House,1,NC,100,-0.406,0.205,-93.42871,0.91698,1078,32
"BYRNE, Bradley",RepByrne,House,1,AL,200,0.54,0.283,-110.74013,0.90406,1098,45
"CՁRDENAS, Tony",RepCardenas,House,29,CA,100,-0.373,-0.012,-110.24419,0.89896,1035,44
"CALVERT, Ken",KenCalvert,House,42,CA,200,0.348,0.2,-95.75226,0.91757,1113,27
"CANTWELL, Maria E.",SenatorCantwell,Senate,0,WA,100,-0.289,-0.409,-45.66842,0.89697,420,21
"CAPITO, Shelley Moore",SenCapito,Senate,0,WV,200,0.258,0.052,-87.56186,0.81101,418,32
"CAPPS, Lois",RepLoisCapps,House,24,CA,100,-0.389,-0.227,-81.8492,0.927,1077,26
"CAPUANO, Michael Everett",mikecapuano,House,7,MA,100,-0.578,-0.086,-111.25111,0.90381,1100,62
"CARDIN, Benjamin Louis",SenatorCardin,Senate,0,MD,100,-0.328,-0.255,-46.86341,0.89442,420,16
"CARNEY, John C., Jr.",JohnCarneyDE,House,1,DE,100,-0.256,-0.142,-141.76971,0.879,1100,57
"CARPER, Thomas Richard",SenatorCarper,Senate,0,DE,100,-0.174,-0.219,-90.80103,0.80091,409,37
"CARSON, Andrթ",RepAndreCarson,House,7,IN,100,-0.433,0.071,-120.72867,0.89677,1108,43
"CARTER, Buddy",RepBuddyCarter,House,1,GA,200,0.565,0.343,-100.76315,0.9133,1111,54
"CARTER, John R.",JudgeCarter,House,31,TX,200,0.467,0.607,-84.51241,0.92281,1052,50
"CARTWRIGHT, Matt",RepCartwright,House,17,PA,100,-0.397,-0.015,-112.17156,0.9033,1103,43
"CASEY, Robert (Bob), Jr.",SenBobCasey,Senate,0,PA,100,-0.294,0.186,-80.09236,0.82449,415,30
"CASSIDY, Bill",BillCassidy,Senate,0,LA,200,0.451,-0.101,-81.49694,0.82209,416,36
"CASTOR, Kathy",USRepKCastor,House,14,FL,100,-0.433,0.031,-86.10686,0.92444,1096,43
"CASTRO, Joaquin",JoaquinCastrotx,House,20,TX,100,-0.398,0.04,-86.052,0.92103,1046,30
"CHABOT, Steve",RepSteveChabot,House,1,OH,200,0.584,-0.258,-92.42553,0.92106,1124,29
"CHAFFETZ, Jason",jasoninthehouse,House,3,UT,200,0.647,-0.278,-149.04672,0.87098,1079,71
"CHU, Judy",RepJudyChu,House,27,CA,100,-0.503,-0.32,-51.63659,0.95293,1071,19
"CICILLINE, David N.",RepCicilline,House,1,RI,100,-0.397,-0.255,-70.79653,0.93816,1109,23
"CLARK, Katherine M.",RepKClark,House,5,MA,100,-0.484,-0.468,-64.21594,0.94428,1120,30
"CLARKE, Yvette Diane",RepYvetteClarke,House,9,NY,100,-0.605,-0.225,-72.35236,0.93673,1107,36
"CLAWSON, Curt",RepCurtClawson,House,19,FL,200,0.626,-0.509,-201.38303,0.824,1041,71
"CLAY, William Lacy, Jr.",LacyClayMO1,House,1,MO,100,-0.487,-0.061,-106.16062,0.90695,1087,36
"CLEAVER, Emanuel, II",repcleaver,House,5,MO,100,-0.452,0.012,-100.76281,0.90532,1013,36
"CLYBURN, James Enos",Clyburn,House,6,SC,100,-0.465,0.262,-92.58825,0.91726,1072,47
"COATS, Daniel Ray",SenDanCoats,Senate,0,IN,200,0.375,-0.227,-111.40278,0.763,411,44
"COCHRAN, William Thad",SenThadCochran,Senate,0,MS,200,0.286,0.051,-73.89099,0.83726,416,24
"COFFMAN, Mike",RepMikeCoffman,House,6,CO,200,0.498,-0.212,-188.70557,0.84481,1119,74
"COHEN, Stephen",RepCohen,House,9,TN,100,-0.401,-0.375,-119.80572,0.89654,1097,51
"COLE, Tom",TomColeOK04,House,4,OK,200,0.337,0.373,-93.51597,0.9192,1110,27
"COLLINS, Chris",RepChrisCollins,House,27,NY,200,0.365,0.232,-111.76336,0.90355,1102,46
"COLLINS, Doug",RepDougCollins,House,9,GA,200,0.638,0.031,-101.67595,0.91202,1104,57
"COLLINS, Susan Margaret",SenatorCollins,Senate,0,ME,200,0.108,-0.572,-156.83716,0.68837,420,83
"COMER, James",KYComer,House,1,KY,200,0.616,0.027,-1.90687,0.94034,31,2
"COMSTOCK, Barbara J.",RepComstock,House,10,VA,200,0.275,0.437,-109.16116,0.90642,1111,36
"CONAWAY, K. Michael",ConawayTX11,House,11,TX,200,0.591,0.349,-84.16347,0.92792,1125,33
"CONNOLLY, Gerald E. (Gerry)",GerryConnolly,House,11,VA,100,-0.304,-0.029,-121.28385,0.89719,1118,60
"CONYERS, John, Jr.",RepJohnConyers,House,13,MI,100,-0.658,-0.515,-101.61315,0.90973,1074,38
"COOK, Paul",RepPaulCook,House,8,CA,200,0.384,0.201,-111.74407,0.90382,1105,43
"COONS, Christopher A.",ChrisCoons,Senate,0,DE,100,-0.267,-0.249,-45.06914,0.89419,403,23
"COOPER, James Hayes Shofner",repjimcooper,House,5,TN,100,-0.161,-0.035,-362.1794,0.72117,1108,143
"CORKER, Robert (Bob)",SenBobCorker,Senate,0,TN,200,0.393,-0.331,-121.19229,0.74409,410,50
"CORNYN, John",JohnCornyn,Senate,0,TX,200,0.496,-0.017,-70.01662,0.84406,413,30
"COSTA, Jim",RepJimCosta,House,16,CA,100,-0.186,0.468,-415.43954,0.6814,1083,216
"COSTELLO, Ryan",RepRyanCostello,House,6,PA,200,0.217,-0.065,-208.47272,0.82905,1112,97
"COTTON, Tom",SenTomCotton,Senate,0,AR,200,0.616,0.137,-64.49622,0.85444,410,27
"COURTNEY, Joe",RepJoeCourtney,House,2,CT,100,-0.341,0.019,-109.13984,0.90644,1111,45
"CRAMER, Kevin",RepKevinCramer,House,1,ND,200,0.385,0.326,-98.29526,0.91437,1098,38
"CRAPO, Michael Dean",MikeCrapo,Senate,0,ID,200,0.508,0.277,-77.95979,0.8276,412,37
"CRAWFORD, Rick",RepRickCrawford,House,1,AR,200,0.378,0.495,-101.15752,0.91082,1083,42
"CRENSHAW, Ander",AnderCrenshaw,House,4,FL,200,0.333,0.337,-89.92786,0.922,1109,23
"CROWLEY, Joseph",repjoecrowley,House,14,NY,100,-0.407,-0.073,-82.11162,0.92718,1086,31
"CRUZ, Rafael Edward (Ted)",SenTedCruz,Senate,0,TX,200,0.841,-0.355,-110.3193,0.69566,304,50
"CUELLAR, Henry",RepCuellar,House,28,TX,100,-0.226,0.63,-290.55542,0.76544,1087,122
"CULBERSON, John",CongCulberson,House,7,TX,200,0.503,0.375,-123.63074,0.89107,1072,55
"CUMMINGS, Elijah Eugene",RepCummings,House,7,MD,100,-0.438,-0.149,-59.80841,0.94708,1100,23
"CURBELO, Carlos",RepCurbelo,House,26,FL,200,0.204,-0.195,-265.30095,0.78587,1101,130
"DAINES, Steve",SteveDaines,Senate,0,MT,200,0.537,-0.069,-102.68478,0.78311,420,45
"DAVIDSON, Warren",WarrenDavidson,House,8,OH,200,0.756,-0.19,-31.50817,0.89393,281,11
"DAVIS, Danny K.",RepDannyDavis,House,7,IL,100,-0.488,-0.249,-77.22625,0.93081,1077,27
"DAVIS, Rodney",RodneyDavis,House,13,IL,200,0.293,0.095,-146.04077,0.87651,1108,73
"DAVIS, Susan A.",RepSusanDavis,House,53,CA,100,-0.344,-0.098,-95.85699,0.91783,1118,33
"DeFAZIO, Peter Anthony",RepPeterDeFazio,House,4,OR,100,-0.428,0.01,-233.74376,0.79732,1032,92
"DeGETTE, Diana",RepDianaDeGette,House,1,CO,100,-0.433,-0.309,-80.37594,0.93045,1115,32
"DELANEY, John",RepJohnDelaney,House,6,MD,100,-0.273,0.014,-176.63287,0.84584,1055,80
"DeLAURO, Rosa L.",rosadelauro,House,3,CT,100,-0.418,-0.113,-82.88697,0.92593,1077,26
"DelBENE, Suzan K.",RepDelBene,House,1,WA,100,-0.277,-0.224,-105.14563,0.91054,1122,43
"DENHAM, Jeff",RepJeffDenham,House,10,CA,200,0.31,0.179,-165.68579,0.86215,1117,77
"DENT, Charles W.",RepCharlieDent,House,15,PA,200,0.243,-0.091,-209.63567,0.82985,1124,84
"DeSANTIS, Ron",RepDeSantis,House,6,FL,200,0.662,-0.12,-100.51105,0.91328,1108,55
"DESAULNIER, Mark James",RepDeSaulnier,House,11,CA,100,-0.541,-0.242,-65.84096,0.94251,1112,29
"DESJARLAIS, Scott",DesJarlaisTN04,House,4,TN,200,0.594,-0.111,-119.01478,0.89547,1078,52
"DEUTCH, Theodore E. (Ted)",RepTedDeutch,House,21,FL,100,-0.411,-0.073,-82.75365,0.9249,1060,32
"DIAZ-BALART, Mario",MarioDB,House,25,FL,200,0.277,0.087,-147.17389,0.87488,1101,52
"DINGELL, Debbie",RepDebDingell,House,12,MI,100,-0.446,-0.02,-76.69239,0.93248,1097,28
"DOGGETT, Lloyd Alton, II",RepLloydDoggett,House,35,TX,100,-0.402,-0.297,-129.18138,0.89042,1113,47
"DOLD, Robert",ROBERTDOLD,House,10,IL,200,0.176,-0.207,-292.99709,0.768,1112,142
"DONNELLY, Joe",SenDonnelly,Senate,0,IN,100,-0.119,0.428,-114.0178,0.76027,416,48
"DONOVAN, Daniel M., Jr.",RepDanDonovan,House,11,NY,200,0.222,0.142,-150.55064,0.84829,915,55
"DOYLE, Michael F.",USRepMikeDoyle,House,14,PA,100,-0.326,0.124,-139.75801,0.8783,1077,56
"DUCKWORTH, Tammy",SenDuckworth,House,8,IL,100,-0.309,0.078,-115.07636,0.89221,1009,45
"DUFFY, Sean",RepSeanDuffy,House,7,WI,200,0.505,-0.15,-128.02685,0.88733,1071,51
"DUNCAN, Jeff",RepJeffDuncan,House,3,SC,200,0.737,-0.215,-126.02648,0.89043,1086,50
"DUNCAN, John J., Jr.",RepJohnDuncanJr,House,2,TN,200,0.599,-0.448,-357.1348,0.72446,1108,130
"DURBIN, Richard Joseph",SenatorDurbin,Senate,0,IL,100,-0.363,-0.363,-38.68677,0.91017,411,16
"EDWARDS, Donna F.",DonnaFEdwards,House,4,MD,100,-0.562,-0.294,-71.33447,0.937,1097,33
"ELLISON, Keith",keithellison,House,5,MN,100,-0.54,-0.556,-90.92132,0.91897,1076,35
"ELLMERS, Renee",RepReneeEllmers,House,2,NC,200,0.406,0.338,-143.7411,0.868,1018,63
"EMMER, Thomas Earl II",RepTomEmmer,House,6,MN,200,0.432,-0.098,-175.70687,0.85457,1118,81
"ENGEL, Eliot Lance",RepEliotEngel,House,16,NY,100,-0.407,-0.083,-129.82451,0.88421,1055,41
"ENZI, Michael B.",SenatorEnzi,Senate,0,WY,200,0.538,0.177,-87.444,0.80494,403,36
"ERNST, Joni",joniernst,Senate,0,IA,200,0.51,0.006,-64.04978,0.85856,420,26
"ESHOO, Anna Georges",RepAnnaEshoo,House,18,CA,100,-0.382,-0.424,-77.5064,0.93214,1103,38
"ESTY, Elizabeth",RepEsty,House,5,CT,100,-0.306,-0.117,-102.73558,0.91228,1119,39
"EVANS, Dwight",RepDwightEvans,House,2,PA,100,-0.503,-0.004,-3.49234,0.89011,30,1
"FARENTHOLD, Blake",farenthold,House,27,TX,200,0.546,0.023,-135.10722,0.88636,1120,66
"FARR, Sam",,House,20,CA,100,-0.455,-0.219,-107.70226,0.904,1067,46
"FATTAH, Chaka",chakafattah,House,2,PA,100,-0.472,-0.054,-58.07576,0.919,687,22
"FEINSTEIN, Dianne",SenFeinstein,Senate,0,CA,100,-0.264,-0.167,-55.4289,0.87268,407,28
"FINCHER, Stephen Lee",RepFincherTN08,House,8,TN,200,0.526,0.181,-99.54881,0.889,845,43
"FISCHER, Debra (Deb)",SenatorFischer,Senate,0,NE,200,0.473,0.286,-64.54491,0.85755,420,22
"FITZPATRICK, Michael G.",RepFitzpatrick,House,8,PA,200,0.202,-0.186,-278.04712,0.774,1083,134
"FLAKE, Jeff",JeffFlake,Senate,0,AZ,200,0.855,-0.518,-151.07924,0.6899,407,70
"FLEISCHMANN, Chuck",RepChuck,House,3,TN,200,0.473,0.312,-89.1219,0.92344,1119,42
"FLEMING, John",RepFleming,House,4,LA,200,0.59,0.022,-134.43897,0.887,1116,70
"FLORES, Bill",RepBillFlores,House,17,TX,200,0.605,0.319,-75.68243,0.93415,1111,40
"FORBES, J. Randy",Randy_Forbes,House,4,VA,200,0.407,0.218,-99.8446,0.909,1041,48
"FORTENBERRY, Jeff",JeffFortenberry,House,1,NE,200,0.3,-0.068,-190.80798,0.84219,1111,83
"FOSTER, Bill",RepBillFoster,House,11,IL,100,-0.222,-0.226,-140.8768,0.88171,1119,56
"FOXX, Virginia Ann",virginiafoxx,House,5,NC,200,0.64,0.148,-143.20404,0.87804,1101,67
"FRANKEL, Lois",RepLoisFrankel,House,22,FL,100,-0.417,-0.057,-77.3628,0.93238,1105,27
"FRANKEN, Al",SenFranken,Senate,0,MN,100,-0.398,-0.17,-43.16634,0.89937,407,22
"FRANKS, Trent",RepTrentFranks,House,8,AZ,200,0.749,0.087,-125.07757,0.89196,1094,45
"FRELINGHUYSEN, Rodney P.",USRepRodney,House,11,NJ,200,0.29,-0.273,-226.42929,0.81696,1120,87
"FUDGE, Marcia L.",RepMarciaFudge,House,11,OH,100,-0.582,0.109,-93.30354,0.91818,1093,47
"GABBARD, Tulsi",TulsiPress,House,2,HI,100,-0.283,-0.163,-165.51053,0.86251,1119,64
"GALLEGO, Ruben",RepRubenGallego,House,7,AZ,100,-0.446,-0.054,-79.6192,0.93078,1110,23
"GARAMENDI, John",RepGaramendi,House,3,CA,100,-0.315,-0.095,-163.82071,0.8595,1082,59
"GARDNER, Cory",SenCoryGardner,Senate,0,CO,200,0.454,-0.004,-110.98953,0.76484,414,46
"GARRETT, Scott",RepGarrett,House,5,NJ,200,0.688,-0.243,-161.0892,0.864,1099,76
"GIBBS, Bob",RepBobGibbs,House,7,OH,200,0.459,0.278,-91.28283,0.9218,1121,44
"GIBSON, Christopher",RepChrisGibson,House,19,NY,200,0.203,-0.455,-347.40836,0.733,1117,178
"GILLIBRAND, Kirsten",SenGillibrand,Senate,0,NY,100,-0.367,0.048,-62.7548,0.8609,419,24
"GOHMERT, Louie",replouiegohmert,House,1,TX,200,0.596,-0.233,-170.19144,0.85269,1068,72
"GOODLATTE, Robert William",RepGoodlatte,House,6,VA,200,0.495,-0.001,-102.54824,0.91198,1113,36
"GOSAR, Paul",RepGosar,House,4,AZ,200,0.608,-0.303,-176.38825,0.8497,1083,75
"GOWDY, Trey",TGowdySC,House,4,SC,200,0.665,-0.023,-71.94774,0.93509,1072,29
"GRAHAM, Gwendolyn (Gwen)",GwenGraham,House,2,FL,100,-0.233,0.255,-239.05872,0.808,1124,96
"GRAHAM, Lindsey O.",GrahamBlog,Senate,0,SC,200,0.409,-0.173,-85.49834,0.76617,321,39
"GRANGER, Kay",RepKayGranger,House,12,TX,200,0.392,0.23,-95.7012,0.91312,1053,42
"GRASSLEY, Charles Ernest",ChuckGrassley,Senate,0,IA,200,0.342,-0.07,-113.45342,0.76328,420,49
"GRAVES, Garret",RepGarretGraves,House,6,LA,200,0.499,-0.092,-150.74837,0.87375,1117,64
"GRAVES, Samuel",RepSamGraves,House,6,MO,200,0.433,0.147,-131.64762,0.88258,1054,57
"GRAVES, Tom",RepTomGraves,House,14,GA,200,0.75,-0.08,-111.78019,0.90354,1102,63
"GRAYSON, Alan",AlanGrayson,House,9,FL,100,-0.363,-0.457,-179.64887,0.849,1099,63
"GREEN, Al",RepAlGreen,House,9,TX,100,-0.43,0.32,-131.78309,0.88632,1092,63
"GREEN, Raymond Eugene (Gene)",RepGeneGreen,House,29,TX,100,-0.322,0.453,-276.07239,0.77407,1078,120
"GRIFFITH, H. Morgan",RepMGriffith,House,9,VA,200,0.542,-0.454,-244.18314,0.80301,1113,112
"GRIJALVA, Ra�_l M.",RepRaulGrijalva,House,3,AZ,100,-0.596,-0.254,-91.80353,0.91636,1051,35
"GROTHMAN, Glenn",RepGrothman,House,6,WI,200,0.603,-0.261,-156.36906,0.86882,1112,71
"GUINTA, Frank",RepFrankGuinta,House,1,NH,200,0.427,-0.073,-156.51923,0.868,1110,61
"GUTHRIE, Brett",RepGuthrie,House,2,KY,200,0.409,0.254,-96.73423,0.91697,1116,45
"GUTI�_RREZ, Luis V.",RepGutierrez,House,4,IL,100,-0.484,-0.266,-68.54383,0.93401,1004,32
"HAHN, Janice",SupJaniceHahn,House,44,CA,100,-0.39,-0.376,-83.71876,0.926,1089,38
"HANABUSA, Colleen",RepHanabusa,House,1,HI,100,-0.378,0.006,-0.89897,0.97142,31,0
"HANNA, Richard",RepRichardHanna,House,22,NY,200,0.215,-0.145,-258.38534,0.777,1024,119
"HARDY, Cresent Leo",RepHardy,House,4,NV,200,0.353,0.209,-119.1218,0.897,1099,51
"HARPER, Gregg",GreggHarper,House,3,MS,200,0.384,0.492,-91.43661,0.92038,1102,36
"HARRIS, Andy",RepAndyHarrisMD,House,1,MD,200,0.604,-0.29,-141.80364,0.88078,1117,54
"HARTZLER, Vicky",RepHartzler,House,4,MO,200,0.496,0.38,-91.52648,0.92146,1119,42
"HASTINGS, Alcee Lamar",RepHastingsFL,House,20,FL,100,-0.564,0.148,-116.35423,0.88415,945,51
"HATCH, Orrin Grant",SenOrrinHatch,Senate,0,UT,200,0.382,-0.006,-77.95147,0.82913,416,28
"HECK, Denny",RepDennyHeck,House,10,WA,100,-0.322,-0.107,-101.11565,0.91375,1121,39
"HECK, Joe",,House,3,NV,200,0.324,0.014,-170.65291,0.853,1074,83
"HEINRICH, Martin",MartinHeinrich,Senate,0,NM,100,-0.289,-0.028,-49.13058,0.88911,418,21
"HEITKAMP, Mary Kathryn (Heidi)",SenatorHeitkamp,Senate,0,ND,100,-0.126,0.386,-109.70885,0.76964,419,44
"HELLER, Dean",SenDeanHeller,Senate,0,NV,200,0.464,-0.477,-176.43713,0.64892,408,84
"HENSARLING, Jeb",RepHensarling,House,5,TX,200,0.704,0.04,-77.39287,0.93283,1113,29
"HERRERA BEUTLER, Jaime",HerreraBeutler,House,3,WA,200,0.379,-0.238,-169.05935,0.82521,880,84
"HICE, Jody Brownlow",CongressmanHice,House,10,GA,200,0.719,-0.072,-94.47284,0.91883,1116,49
"HIGGINS, Brian",RepBrianHiggins,House,26,NY,100,-0.343,-0.033,-100.57046,0.91338,1110,38
